ID,Start time,Completion time,Gender,Date of Birth,Ethnic Group,Religion,Guardian,Accommodation,Types of Residence,Travel time to campus or university,Nearest Town ,District,Province,Sponsorship of Education,Marital Status,Birth Place,Employment,Current Health Status,How do you come to campus or university?,Travel Distance to campus or University(m),Internet Usage,Major Speaking Language (Mother Tongue),Romantic Relationship ,Alcohol Usage,Cigarette Usage,Family Size,Number of Siblings,Family Income,Father Education,Mother Education,Father's Occupation,Mother's Occupation,Is your father still alive or not?,Is your mother still alive or not?,Study time per day,Do you use ChatGPT for learning?,Do you use YouTube for learning?,Do you have interest in research?,What is your interesting area of research?,Do you have a LinkedIn account?,Do you have student membership of any professional body? ,What is your career path?,"Do you want to migrate to another country?
",Where do you intend to do postgraduate? ,Last School Attended,District2,A/L Streams,Year of A/L,Z-Score,O/L English,O/L Maths,Do you participate in any student society activities in campus/university?,Do you participate in any athletic or sporting activities in campus/university?,Do you register in any student group (online) in campus/university?,Do you use GYM?,Do you use a swimming pool?,Do you practice meditation or yoga?,Do you listen to music?,"Do you watch movies, teledramas, or TV series?",Lab Facilities,Internet Access Facilities,Administrative Service of Students,Communication with Lecturers and Students,Subject Content,Quality of Lecturing and Practical,Environmental Condition,Opportunities for Professional Development,Advising and Mentoring Services,I ask questions during lecture,I respond to questions during lecture.,I prepare study schedule and study plan.,I ask for and seek help from lecturers.,I make additional lecture notes.,I plan my time for assignments.,I ask for help from my friends if I face problems or confusion with regards to any particular topic,I give my best during assignments.,I involve myself in academic discussions with friends.,I can explain subject-related contents to my friends.,I try to answer questions well the first time.,I always meet assignment deadlines.,I try to meet the deadlines of group assignments.,I pay attention during each lecture.,I pay attention during each lecture.2,I feel nervous whenever I am doing a presentation.,I would volunteer myself to present during any group assignment.,I am confident that I can complete my studies within four years.
5,10/14/2023 6:47,10/14/2023 7:07,1,8/2/1998,1,1,0,1,1,0,Lunugala,Badulla,Uva,1,1,Mettigathenna,0,2,0,1500,0,1,1,0,0,5,2,0,0,0,1,1,1,1,0,0,1,1,Computer Vision,1,0,Lecturer,,,Bd/ sri ramakrishna college lunugala,Badulla,Art,2018,,1,1,No,No,Yes,No,No,No,No,Yes,Average,Average,Average,Average,Average,Average,Average,Average,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
6,10/14/2023 8:35,10/14/2023 8:50,0,1/25/2001,0,0,0,1,0,3,Horowpothana,Anuradhapura,North Central,0,0,Anuradhapura,0,3,3,9700,3,0,0,0,0,3,1,0,1,1,4,0,1,1,1,1,1,1,Other,1,0,Software Engineer,,,"A/Niwaththakachethiya maha vidyalaya, Anuradhapura",Anuradhapura,Physical Science,2019,,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Good,Good,Good,Very Good,Very Good,Very Good,Average,Average,Average,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
7,10/15/2023 20:24,10/15/2023 20:34,0,3/26/1998,0,0,1,1,2,3,Veyangoda,Gampaha,Western,1,0,Colombo,0,3,0,300,4,0,0,0,0,4,1,0,2,2,2,2,1,1,0,1,1,1,Cyber Security,1,1,Information security analyst,,,"D.S.Senanayaka central colllage,Mirigama",gampaha,Technology,2017,,1,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Average,Very Bad,Bad,Average,Good,Good,Average,Bad,Very Bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
8,10/16/2023 7:59,10/16/2023 8:15,1,3/6/1997,0,0,0,1,0,0,Elpitiya,Galle,Southern,1,0,Galle mahamodara hospital,0,3,0,200,3,0,1,0,0,6,4,1,2,2,3,0,0,1,2,1,1,1,Artificial Intelligence,1,1,Network Administrator,,,g/poddiwala navodya college,galle ,Art,2017,,1,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Bad,Bad,Average,Good,Average,Average,Average,Average,Average,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree
9,10/16/2023 11:06,10/16/2023 11:20,1,8/2/1997,1,1,0,1,2,1,Bibila,Monaragala,Uva,1,0,Bibila ,0,3,0,300,3,1,1,0,0,4,3,0,0,1,0,2,0,1,0,1,1,1,Artificial Intelligence,1,1,AI/ML Engineer,,,BD/ Sri Ramakrishna Collage Lunugala,Badulla,Art,2017,,0,1,Yes,Yes,Yes,No,No,No,Yes,No,Average,Very Bad,Average,Good,Good,Good,Average,Average,Average,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
10,10/16/2023 14:18,10/16/2023 15:29,0,9/18/1999,0,0,1,1,1,0,Medirigiriya,Polonnaruwa,North Central,1,0,Wathupitiwala,1,4,2,2000,3,0,1,0,0,4,1,0,3,2,1,0,1,1,1,1,1,1,Cloud Computing,1,1,Network Administrator,,,PL/Divulankadawala President's Collage,Polonnnaruwa,Technology,2018,,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Bad,Bad,Average,Good,Average,Good,Bad,Average,Average,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree
11,10/16/2023 16:13,10/16/2023 16:37,0,8/19/1997,0,0,0,1,1,1,Tangalle,Hambantota,Southern,1,0,Mahamodara,1,2,2,1500,3,0,1,1,0,4,2,1,2,3,2,1,1,1,1,1,1,1,Cloud Computing,1,1,Cloud engineer,,,H/Tangalle Boys School,Hambanthota,Technology,2017,,1,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Average,Average,Good,Very Good,Good,Very Good,Average,Average,Average,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree
13,10/17/2023 9:10,10/17/2023 9:35,1,5/23/1999,1,1,1,1,1,0,Batticaloa,Batticaloa,Eastern,1,0,Arayampathy,0,3,0,1500,3,1,0,0,0,4,1,0,1,2,0,0,1,1,1,1,1,1,Cyber Security,1,1,Software Engineer,,,BT/Arayampathy Rama Kirishna Mission Maha Vidyalaya,Batticaloa,Art,2018,,1,1,Yes,No,Yes,No,No,Yes,Yes,No,Good,Good,Good,Good,Very Good,Very Good,Good,Good,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
14,10/17/2023 9:18,10/17/2023 9:38,1,3/14/1999,1,1,1,1,0,0,Lunugala,Badulla,Uva,1,0,Diyathalava,0,3,0,1500,2,1,0,0,0,5,1,0,0,2,2,2,1,1,1,1,1,1,Cyber Security,1,1,Software Engineer,,,Bd/ Sri Ramakrishna college lunugala,Badulla,Art,2018,,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Good,Average,Good,Very Good,Very Good,Very Good,Good,Good,Good,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
15,10/17/2023 9:23,10/17/2023 9:38,0,6/2/1998,1,1,1,0,1,1,Akkaraipattu,Ampara,Eastern,1,0,Thambiluvil,1,4,0,1000,3,1,1,0,0,,3,0,0,2,3,0,1,1,1,1,1,1,Cyber Security,1,1,Software Engineer,,,Thambiluvil Central collage,AMPARA,Art,2017,,1,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Good,Good,Average,Very Good,Good,Very Good,Good,Good,Very Good,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
16,10/17/2023 9:23,10/17/2023 9:39,1,1/15/2000,1,1,1,1,0,0,Balangoda,Ratnapura, Sabaragamuwa,1,0,,0,3,0,1500,3,1,0,0,0,5,2,0,0,2,2,0,1,1,1,1,1,1,Cloud Computing,1,1,Network Administrator,,,R/Hindu College Balangoda.,Rathnapura,Art,2018,,1,1,No,No,Yes,No,No,No,Yes,Yes,Good,Good,Good,Very Good,Very Good,Very Good,Good,Good,Very Good,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
17,10/17/2023 12:05,10/17/2023 12:22,0,1/8/2000,0,0,1,2,1,0,Pittugala,Colombo,Western,1,0,Sri Jayawardanapura,0,4,0,900,3,0,0,0,0,4,1,1,2,3,0,0,1,1,0,1,1,0,Other,1,0,Other,,,Boys' School Malabe,Colombo,Commerce,2018,,1,1,Yes,No,No,No,No,No,Yes,Yes,Average,Average,Average,Average,Average,Average,Good,Average,Bad,Neutral,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree
23,10/18/2023 11:17,10/18/2023 11:37,0,10/13/2023,0,0,1,1,1,0,Hambantota,Hambantota,Southern,1,0,General Hospital Hambantota,0,3,2,1000,3,0,0,1,0,4,0,0,2,2,4,0,1,1,2,1,1,1,Cloud Computing,1,1,Cloud engineer,,,St Mary's College Hambantota,Hambantota,Technology,2017,0.8,1,1,Yes,No,No,No,No,No,Yes,Yes,Very Bad,Very Bad,Average,Good,Bad,Average,Average,Average,Good,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
26,10/18/2023 22:27,10/18/2023 22:40,0,10/18/2023,0,0,1,1,2,4,Balangoda,Ratnapura, Sabaragamuwa,1,0,Balangoda,0,4,0,2000,3,0,1,0,0,3,0,0,2,2,0,0,1,1,3,1,1,1,Cloud Computing,1,1,Cloud engineer,No,Government University,R/B Ananda Mithreya National School,Rathnapura,Technology,2018,0.6743,1,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Average,Average,Average,Good,Good,Average,Good,Good,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree
27,10/18/2023 22:51,10/18/2023 22:59,0,1/16/2000,0,0,1,1,1,4,Gelioya,Kandy,Central,1,0,Peradeniya,0,1,3,6000,3,0,0,0,0,6,2,0,1,2,4,0,1,1,0,1,1,1,Artificial Intelligence,1,0,Quality Assurance Engineer,Yes,Not Yet decided.,Sumangala college Kandy,Kandy,Commerce,2018,0.6,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Average,Average,Average,Good,Very Good,Good,Very Good,Very Good,Very Good,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral
28,10/18/2023 23:54,10/19/2023 0:10,0,8/25/1998,0,0,1,2,2,3,Alawatugoda,Kandy,Central,1,0,Kandy,0,4,3,15000,3,0,0,0,0,6,3,1,2,2,2,3,1,1,1,1,1,1,IoT,1,0,Software Engineer,Yes,Foreign University,A/L,Kandy,Technology,2018,0.9116,1,1,No,No,Yes,No,No,No,Yes,Yes,Average,Bad,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
29,10/19/2023 8:57,10/19/2023 9:06,1,8/31/1999,2,1,1,1,0,1,Nawalapity,Nuwara Eliya,Central,1,1,Maskeliya,0,3,4,1500,3,1,0,0,0,4,2,0,2,2,3,2,1,0,2,1,1,1,Other,1,1,Software Engineer,Yes,Private University,Cambridge college kotagala,Nuwara eliya,Art,2018,1.231,1,1,Yes,Yes,Yes,Yes,No,No,No,Yes,Average,Average,Average,Average,Average,Average,Average,Average,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
30,10/19/2023 20:39,10/19/2023 22:58,1,3/5/1999,0,0,1,2,1,3,Havelock City,Colombo,Western,1,0,Narahenpita ( Asiri Medical Hospital ),0,3,3,25000,3,0,0,0,0,5,4,3,2,2,4,0,0,1,1,1,1,0,Cloud Computing,1,1,Cloud engineer,Yes,Foreign University,SPM WALK 2020,Colombo,Art,2018,0.92,1,1,Yes,No,Yes,No,Yes,No,Yes,Yes,Good,Good,Good,Good,Good,Good,Good,Good,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
37,10/22/2023 18:41,10/22/2023 19:30,1,6/19/1999,0,0,1,2,2,3,Horana,Kalutara,Western,1,0,Base Hospital Horana,0,2,2,36000,3,0,1,0,0,4,1,2,2,2,1,4,1,1,1,1,1,0,Machine Learning,1,0,Other,Yes,Not Yet decided.,"Sripalee College, Horana",Kaluthara,Physical Science,2018,0.3659,1,1,No,No,Yes,No,No,No,Yes,Yes,Bad,Bad,Bad,Average,Bad,Average,Bad,Average,Average,Neutral,Disagree,Strongly disagree ,Neutral,Strongly disagree ,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree ,Agree
38,10/22/2023 19:20,10/22/2023 19:35,1,2/7/1998,0,0,0,2,2,3,Piliyandala,Colombo,Western,1,0,Colombo,0,3,3,20000,3,0,0,1,0,4,1,1,4,4,1,1,1,1,2,1,1,1,IoT,1,1,Other,Yes,Not Yet decided.,"Girls'High School,Mount Lavinia.",Colombo,Art,2017,,1,1,Yes,No,Yes,No,No,Yes,Yes,Yes,,Bad,Average,Good,Good,Good,Good,Good,Good,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral
41,10/24/2023 23:45,10/24/2023 23:58,1,4/30/1999,1,2,1,1,0,0,Kalpitiya,Puttalam,North Western,1,0,Puttalam,0,3,0,1000,2,1,1,0,0,5,2,1,2,1,2,0,1,1,1,1,1,1,Other,1,1,UI/UX designer,No,Foreign University,2018,Puttalam,Art,2018,0.849,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Average,Average,Good,Very Good,Very Good,Good,Very Good,Good,Very Good,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree
44,10/28/2023 11:18,10/28/2023 11:52,1,10/17/1998,0,0,0,1,2,0,Medawachchiya,Anuradhapura,Northern,1,0,Medawachchiya,0,3,0,1000,2,0,0,0,0,4,1,0,3,2,1,0,0,1,1,1,1,1,Artificial Intelligence,1,1,Full-Stack Developer,Yes,Not Yet decided.,kekirawa central college ,anuradhapura,Art,2017,0.7,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Average,Average,Good,Good,Good,Good,Average,Average,Average,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree
45,10/28/2023 12:15,10/28/2023 12:28,1,6/9/2023,1,1,1,1,2,3,Passara,Badulla,Uva,1,0,Colombo,0,4,0,1000,3,1,0,0,0,4,1,0,2,2,4,4,1,1,1,1,1,1,Cyber Security,1,1,Software Engineer,Yes,Not Yet decided.,Gonakella tamil maha vidhiylayam passara,badulla,Art,2016,0.7,1,1,Yes,No,No,No,No,No,,Yes,Average,Good,Good,Very Good,Very Good,Good,Good,Average,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
46,10/28/2023 12:43,10/28/2023 13:03,0,9/24/1997,0,0,1,2,1,1,Rajagiriya,Colombo,Western,1,0,"Castle Street Hospital, Colombo",0,4,3,22000,3,0,1,0,0,3,0,0,2,2,4,0,1,1,3,1,1,1,Cloud Computing,1,1,Cloud engineer,Yes,Government University,Sri Jayawardenapura College - Kotte,Colombo,Commerce,2016,0.0986,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Average,Very Bad,Bad,Good,Good,Good,Average,Good,Good,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree
47,10/29/2023 10:46,10/29/2023 11:14,1,9/29/1999,0,0,0,1,2,0,Malabe,Colombo,Western,1,0,Galle,0,3,2,500,2,0,1,0,0,5,2,0,3,3,4,1,0,1,1,1,1,1,Human-Computer Interaction,1,1,UI/UX designer,Yes,Not Yet decided.,Theraputtha National Collage,Hambantota,Art,2018,0.9888,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Average,Bad,Average,Very Good,Good,Good,Good,Good,Average,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree
48,10/29/2023 11:17,10/29/2023 11:28,0,8/10/1998,0,0,1,1,2,0,Malabe,Colombo,Western,1,0,Polonnaruwa,0,2,2,500,2,0,1,1,1,4,1,0,2,2,1,0,1,1,0,1,1,1,Human-Computer Interaction,1,1,UI/UX designer,Yes,Not Yet decided.,Royal Central Collage,Polonnaruwa,Technology,2017,0.5,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Average,Bad,Average,Good,Good,Good,Good,Average,Average,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
49,10/29/2023 23:03,10/29/2023 23:16,0,10/13/2023,0,0,1,1,2,1,Hambantota,Hambantota,Southern,1,0,General Hospital Hambantota,0,3,1,1000,2,0,0,1,0,4,2,0,2,2,4,0,1,1,2,1,1,1,Cloud Computing,1,0,Cloud engineer,Yes,Not Yet decided.,St.Mary's Collage Hambantota,Hambantota,Technology,2017,0.8,1,1,Yes,No,No,No,No,No,Yes,Yes,Very Bad,Very Bad,Average,Good,Average,Good,Average,Good,Good,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly agree
52,10/30/2023 10:01,10/30/2023 10:14,0,8/30/1996,1,1,0,1,0,2,Deraniyagala,Kegalle, Sabaragamuwa,1,0,Karuvanella,0,3,0,6000,2,1,0,0,0,5,1,0,1,2,2,2,1,1,1,1,1,1,Artificial Intelligence,1,1,Software Engineer,Yes,Not Yet decided.,Sri Kathiresan National College,Kegalla,Art,2016,0.0666,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Bad,Bad,Average,Good,Average,Average,Average,Good,Good,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree ,Neutral,Agree,Strongly agree
