ID,Start time,Completion time,Gender,Date of Birth,Ethnic Group,Religion,Guardian,Accommodation,Types of Residence,Travel time to campus or university,Nearest Town ,District,Province,Sponsorship of Education,Marital Status,Birth Place,Employment,Current Health Status,How do you come to campus or university?,Travel Distance to campus or University(m),Internet Usage,Major Speaking Language (Mother Tongue),Romantic Relationship ,Alcohol Usage,Cigarette Usage,Family Size,Number of Siblings,Family Income,Father Education,Mother Education,Father's Occupation,Mother's Occupation,Is your father still alive or not?,Is your mother still alive or not?,Study time per day,Do you use ChatGPT for learning?,Do you use YouTube for learning?,Do you have interest in research?,What is your interesting area of research?,Do you have a LinkedIn account?,Do you have student membership of any professional body? ,What is your career path?,"Do you want to migrate to another country?
53,10/30/2023 9:43,10/30/2023 10:27,1,10/23/1997,1,1,1,1,0,4,Deraniyagala,Galle, Sabaragamuwa,1,0,Deraniyagala,0,4,0,3000,2,1,1,0,0,12,4,0,1,0,2,2,1,1,1,1,1,1,Artificial Intelligence,1,1,Software Engineer,Yes,Not Yet decided.,    Sri Kathiresan National  School,Kegalle,Art,2017,0.3739,0,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Good,Average,Very Good,Very Good,Very Good,Good,Good,Very Good,Good,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree
56,11/1/2023 9:58,11/1/2023 10:08,0,12/13/1999,3,2,0,2,1,3,Dehiwala,Colombo,Western,1,0,wellawatta,0,3,3,20000,3,1,0,0,0,6,2,0,4,2,1,0,0,1,1,1,1,1,Artificial Intelligence,1,0,DevOps Engineer,No,Not Yet decided.,Hindu College ,Colombo,Commerce,2018,,1,1,No,No,No,No,No,No,Yes,Yes,Average,Good,Good,Very Good,Good,Good,Good,Good,Very Good,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Disagree,Agree
57,11/1/2023 10:59,11/1/2023 11:10,0,5/11/1997,0,0,1,1,1,4,Polgahawela ,Kurunegala,North Western,1,0,Kegalle,0,3,0,100,1,0,1,1,0,4,1,3,2,2,2,0,1,1,1,1,1,1,Artificial Intelligence,1,1,Software Engineer,Yes,Not Yet decided.,St anthennies ,Kurunagala ,Technology,2016,,1,1,No,No,No,No,No,Yes,Yes,Yes,Average,Average,Average,Average,Average,Average,Bad,Average,Average,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree
61,11/1/2023 13:26,11/1/2023 13:43,0,5/1/1998,0,0,0,1,3,0,Galle,Galle,Southern,1,0,Lebanon ,1,3,0,1500,1,0,1,1,1,5,2,2,1,2,4,0,1,1,0,1,1,1,IoT,1,0,UI/UX designer,Yes,Foreign University,St.anthony's college baddegama,Baddegama,Art,2018,1.091,0,1,Yes,,Yes,No,No,No,Yes,No,Good,Good,Good,Good,Good,Good,Good,Good,Good,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree
73,11/4/2023 13:46,11/4/2023 13:55,1,8/2/1998,1,1,0,1,1,0,Passara,Badulla,Uva,1,1,Metikadenna,1,3,0,1500,1,1,1,0,0,5,1,0,1,1,0,0,1,1,0,1,1,1,Cloud Computing,1,1,Software Engineer,Yes,Private University,BD/ Sri Ramakrishna college Lunugala ,Badulla ,Art,2018,0.04,1,1,Yes,,No,No,No,No,Yes,Yes,Average,Average,Average,Average,Average,Average,Average,Average,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
75,11/9/2023 16:47,11/9/2023 16:59,1,5/21/1999,0,0,1,1,0,0,Maho,Kurunegala,North Western,1,0,Teaching hospital Kurunegala,0,3,0,300,2,0,1,1,0,4,1,1,2,2,1,1,1,1,2,1,1,1,IoT,1,1,Information security analyst,Yes,Foreign University,Maliyadeva girls college ,Kurunegala,Art,2018,0.9969,1,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Average,Bad,Average,Very Good,Good,Good,Very Good,Very Good,Very Good,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
85,11/20/2023 16:42,11/20/2023 16:54,1,2/10/1998,0,0,1,1,2,0,Polonnaruwa,Polonnaruwa,North Central,1,0,Polonnaruwa,0,0,0,500,0,0,1,0,0,4,1,1,2,2,1,1,1,0,3,1,1,1,IoT,1,1,UI/UX designer,Yes,Foreign University,sirimavo bandaranayake girl's collage,NuwaraEliya,Art,2018,-0.015,0,1,No,No,Yes,No,No,No,Yes,Yes,Good,Good,Good,Good,Average,Good,Very Good,Good,Good,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
86,11/20/2023 22:17,11/20/2023 22:36,1,1/28/2000,0,0,1,1,1,4,balangoda,Ratnapura, Sabaragamuwa,1,0,Ratnapura,0,3,0,500,2,0,1,0,0,4,1,2,3,3,1,1,1,1,0,1,1,1,Cyber Security,1,0,Software Engineer,Yes,Foreign University,R/Ananda Maithreya National Collage,ratnapura,Art,2018,0.857,1,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Very Bad,Very Bad,Very Bad,Good,Good,Average,Average,Good,Good,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
88,11/23/2023 16:10,11/23/2023 16:26,1,4/27/1997,1,1,0,1,0,0,Balangoda ,Ratnapura, Sabaragamuwa,1,0,,0,2,0,1500,2,1,0,0,0,4,2,0,1,0,0,0,0,1,0,1,1,1,Artificial Intelligence,1,1,UI/UX designer,Yes,Foreign University,2017,Ratnapura ,Art,2017,0.14,1,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Average,Bad,Average,Average,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly agree
90,11/24/2023 21:35,11/24/2023 21:50,1,3/6/1997,0,0,1,1,0,0,Pitigala,Galle,Southern,1,0,Galle hospital karapitiya,0,4,0,100,2,0,1,0,0,6,3,1,2,2,3,0,0,1,2,1,1,1,Artificial Intelligence,1,1,Network Administrator,Yes,Foreign University,g/poddiwala navodya college,galle ,Art,2017,0.056,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Average,Average,Average,Bad,Average,Average,Average,Average,Average,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
92,11/26/2023 19:54,11/26/2023 20:11,0,5/14/1997,0,0,1,2,2,3,Panadura,Kalutara,Western,1,0,Kethumathi Hospital,0,3,2,32000,3,0,0,0,0,4,1,0,2,2,1,4,1,1,3,1,1,1,Other,1,0,Lecturer,No,Not Yet decided.,Malamulla maha vidyalaya panadura,kaluthara,Art,2018,1.2475,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Bad,Very Bad,Average,Good,Good,Good,Good,Average,Good,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly agree
93,11/27/2023 8:43,11/27/2023 9:21,1,11/6/1999,3,2,0,2,1,3,Meethotamulla,Colombo,Western,1,0,"De Soysa Hospital, Colombo- 08",0,3,3,13200,3,1,0,0,0,4,1,0,0,2,4,0,1,1,1,1,1,1,Artificial Intelligence,1,0,Software Engineer,Yes,Not Yet decided.,2018,Colombo ,Art,2018,,1,0,Yes,No,Yes,No,No,No,Yes,Yes,Good,Average,Good,Very Good,Very Good,Good,Good,Average,Good,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
94,11/28/2023 11:10,11/28/2023 11:21,0,1/29/1998,0,0,1,1,0,0,Mawathagama,Kurunegala,North Western,1,0,Dambulla General Hospital ,0,4,0,1500,4,0,0,1,1,1,1,2,2,2,4,0,1,1,0,1,1,1,Artificial Intelligence,1,0,AI/ML Engineer,Yes,Foreign University,,Kurunegala ,Technology,2016,0.112,1,1,No,No,No,No,No,No,Yes,Yes,Very Bad,Very Bad,Very Bad,Very Bad,Average,Very Bad,Average,Very Bad,,Neutral,Neutral,Strongly disagree ,Neutral,Strongly disagree ,Strongly disagree ,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree ,Strongly disagree ,Strongly disagree ,Strongly disagree ,Neutral,Neutral,Strongly disagree 
95,11/28/2023 11:07,11/28/2023 11:28,0,4/10/1999,0,0,1,1,2,0,Eheliyagoda,Kegalle, Sabaragamuwa,0,0,Awissawella Hospital,0,3,0,1500,4,0,0,1,0,1,1,2,2,2,2,0,1,1,1,1,1,1,Artificial Intelligence,1,0,Quality Assurance Engineer,Yes,Foreign University,2018,Rathnapura,Physical Science,2019,-0.501,1,1,Yes,No,No,No,No,No,Yes,Yes,Average,Average,Average,Good,Very Good,Very Good,Very Good,Good,Good,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
96,11/28/2023 11:21,11/28/2023 11:36,0,7/25/1997,0,0,0,1,1,2,Anuradhapura ,Anuradhapura,North Central,1,0,Anuradhapura Teaching Hospital ,0,4,0,2000,0,0,0,0,0,1,1,1,2,4,1,1,1,1,2,1,1,1,Other,1,0,Network Administrator,Yes,Government University,2016,Anuradhapura District ,Art,2016,0.4352,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Average,Very Bad,Average,Good,Average,Good,Bad,Average,Average,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
97,11/28/2023 11:21,11/28/2023 11:36,0,8/5/1999,0,0,1,1,1,2,Bandarawela ,Badulla,Uva,1,0,Badulla teaching hospital ,0,4,0,1500,4,0,0,1,0,1,2,0,1,2,3,3,1,1,2,1,1,1,Other,1,0,Network Administrator,Yes,Private University,2018,Badulla,Technology,2018,0.0734,1,1,No,No,No,No,No,No,No,Yes,Good,Average,,Good,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
98,11/28/2023 11:30,11/28/2023 11:39,0,11/28/2023,0,0,0,1,0,1,Kalawana,Ratnapura, Sabaragamuwa,1,0,Ratnapura,0,4,0,1000,4,0,1,0,0,4,1,0,1,1,2,2,1,1,1,1,1,1,IoT,1,0,Full-Stack Developer,Yes,Government University,R/kalawana National School,Ratnapura,Physical Science,2018,,1,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Very Bad,Very Bad,Very Bad,Average,Average,Bad,Very Bad,Average,Very Bad,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
99,11/28/2023 11:23,11/28/2023 11:41,0,2/18/1998,0,0,0,1,1,0,Alawwa,Kurunegala,North Western,1,0,Alawwa hospital ,0,4,2,3000,3,0,0,1,0,1,2,0,1,1,0,0,1,1,1,1,1,1,Cloud Computing,1,0,Network Administrator,Yes,Government University,2016,Kurunegala,Technology,2017,0.2678,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Bad,Very Bad,Average,Good,Good,Good,Very Bad,Good,Good,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
104,11/28/2023 20:01,11/28/2023 20:23,1,5/3/1999,0,0,1,2,2,2,Dekatana,Gampaha,Western,1,0,Colombo,0,3,3,12000,4,0,0,0,0,5,2,2,2,2,1,0,1,1,2,1,1,1,Cyber Security,1,1,Cloud engineer,Yes,Government University,"Wp/Gm/Yasodhara Devi Balika Maha Vidyalaya, Gampaha",Gampaha,Physical Science,2018,0.6919,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Average,Average,Average,Very Good,Very Good,Very Good,Good,Average,Very Good,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree
105,11/28/2023 21:20,11/28/2023 21:36,1,3/11/1999,0,0,1,1,1,1,Elpitiya,Galle,Southern,1,0,Galle ,0,3,3,2000,3,0,1,0,0,4,1,1,3,3,2,1,1,1,1,1,1,1,Human-Computer Interaction,1,1,Software Engineer,Yes,Government University,G/ Ananda Central College Elpitiya,Galle,Technology,2018,1.1109,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Average,Bad,Good,Very Good,Good,Good,Good,Very Good,Very Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
106,11/29/2023 0:11,11/29/2023 0:25,0,11/21/1998,1,2,1,1,2,0,Lunugala ,Badulla,Uva,1,0,Lunugala ,0,4,0,800,4,1,1,0,0,5,3,0,2,1,3,0,1,1,1,1,1,1,Artificial Intelligence,1,1,UI/UX designer,Yes,Government University,2018,Badulla ,Art,2018,0.5,1,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Very Good,Good,Good,Very Good,Very Good,Very Good,Good,Very Good,Very Good,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Agree
107,11/29/2023 0:08,11/29/2023 0:27,1,7/31/1999,2,3,0,1,1,1,Norwood,Nuwara Eliya,Central,1,0,Nawalapitiya,0,3,3,1500,3,0,0,0,0,4,2,0,0,2,0,4,0,1,1,1,1,1,Cyber Security,1,1,Software Engineer,Yes,Private University,Kathiresan Central college Nawalapitiya,Kandy,Technology,2018,0.2301,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Average,Average,Average,Good,Good,Good,Good,Average,Average,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
108,11/29/2023 1:14,11/29/2023 2:05,0,11/27/1998,0,0,0,2,1,2,Kaduwela,Colombo,Western,1,0,Colombo ,0,2,3,4000,2,0,0,1,1,5,2,3,4,4,4,0,1,1,0,0,1,1,Blockchain,1,0,Network Administrator,Yes,Private University,Bomiriya Centeral College,Colombo,Technology,2018,0.1,1,1,No,No,Yes,No,No,No,Yes,Yes,Average,Good,Bad,Good,Average,Average,Average,Average,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
109,11/29/2023 1:14,11/29/2023 2:10,0,11/27/1998,0,0,0,2,1,0,Kaduwela,Colombo,Western,1,0,Colombo,0,2,3,3000,2,0,0,1,1,5,2,3,4,4,4,0,1,1,0,0,1,1,Blockchain,1,0,Network Administrator,Yes,Private University,Bomiriya central college,colombo,Technology,2018,0.1,1,1,No,No,Yes,No,No,No,Yes,Yes,Average,Average,Very Bad,Good,Average,Average,Good,Average,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree
111,11/29/2023 8:39,11/29/2023 8:57,1,7/19/1997,1,1,1,1,1,0,Ratnapura ,Ratnapura, Sabaragamuwa,1,0,Ratnapura ,0,4,0,1500,2,1,0,0,0,5,2,0,0,0,2,0,1,1,1,1,1,1,Cyber Security,0,1,Software Engineer,Yes,Private University,Ratnapura Tamil Maha Vidyalaya,Ratnapura ,Art,2017,0.5,0,1,Yes,No,Yes,No,No,No,Yes,Yes,Good,Good,Good,Very Good,Average,Good,Good,Good,Very Good,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree
112,11/29/2023 11:26,11/29/2023 11:42,0,9/21/1997,0,0,0,2,1,2,Balangoda,Ratnapura, Sabaragamuwa,1,0,Colombo ,0,3,2,16000,0,0,1,0,0,5,2,0,3,3,2,0,0,1,2,1,1,1,Data Science,1,1,Software Engineer,Yes,Foreign University,R/ udagama maha vidyalaya,Rathnapura,Technology,2017,0.0083,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Average,Very Bad,Bad,Very Good,Good,Very Good,Very Good,Very Good,Very Good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
114,11/29/2023 19:25,11/29/2023 19:35,1,2/1/1999,3,2,0,1,0,0,Madurankuliya,Puttalam,North Western,1,0,Ragama,0,4,0,500,4,1,0,0,0,2,0,0,2,3,0,2,0,1,1,1,1,1,Cyber Security,1,0,Quality Assurance Engineer,No,Private University,2017,Puttalam,Art,2017,0.89,1,1,Yes,No,Yes,No,No,No,Yes,Yes,Good,Very Good,Good,Very Good,Very Good,Very Good,Good,Very Good,Very Good,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly disagree ,Strongly disagree ,Strongly disagree ,Disagree,Strongly agree
115,11/29/2023 20:23,11/29/2023 20:44,1,11/8/1998,0,0,0,2,1,2,Eheliyagoda,Ratnapura, Sabaragamuwa,1,0,Mathara ,0,3,4,25000,2,0,0,0,0,3,0,1,2,2,1,0,1,1,1,0,1,1,Cloud Computing,1,0,Cloud engineer,Yes,Government University,2017,Rathnapura ,Art,2017,,1,1,No,No,Yes,No,No,No,Yes,Yes,Average,Average,Average,Good,Average,Average,Average,Average,Average,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree
116,11/29/2023 21:32,11/29/2023 21:43,0,11/1/1999,0,3,0,2,1,3,Panadura ,Kalutara,Western,1,0,Panadura ,0,3,2,42000,2,0,1,1,0,5,2,2,2,2,1,0,1,1,0,1,1,1,Cloud Computing,1,1,Cloud engineer,Yes,Foreign University,Lumbini college ,Colombo 05,Technology,2018,0,1,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Average,Average,Average,Good,Good,Good,Good,Good,Good,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree
119,12/6/2023 14:10,12/6/2023 14:22,1,1/17/2023,0,0,1,1,1,4,Embilipitiya,Ratnapura, Sabaragamuwa,1,0,Embilipitiya base hospital ,0,4,0,250,0,0,1,0,0,6,3,2,3,4,1,1,1,1,0,0,1,1,Artificial Intelligence,1,0,Software Engineer,No,Private University,R/Emb/Embilipitiya president college.,Rathnapura,Art,2017,0.46,1,1,Yes,Yes,Yes,No,No,No,Yes,No,Very Bad,Very Bad,Very Bad,Very Good,Very Good,Very Good,Very Bad,Very Good,Very Good,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
120,12/6/2023 16:40,12/6/2023 16:57,1,1/30/1997,2,1,0,1,0,0,Nawalapitiya ,Nuwara Eliya,Central,1,0,Nawalapitiya ,0,3,0,1500,3,1,1,0,0,4,4,1,1,0,0,0,0,1,3,1,1,1,Cloud Computing,1,1,Software Engineer,Yes,Not Yet decided.,Kataboola T. M. V,Nuwara-eliya,Art,2018,,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Good,Good,Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
121,12/7/2023 19:44,12/7/2023 19:52,1,2/22/1999,0,0,2,1,0,0,Hettipola,Kurunegala,North Western,1,2,Kuliyapitiya ,0,3,0,500,2,0,1,0,0,5,1,1,2,1,4,0,1,1,2,0,1,1,Database and data mining,1,1,Database administrator,Yes,Foreign University,Panduwasnuwara National college,Kurunegala ,Technology,2018,0.995,1,1,Yes,No,Yes,Yes,No,No,Yes,Yes,Average,Very Bad,Average,Average,Average,Bad,Very Good,Good,Good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree
123,12/21/2023 7:58,12/21/2023 8:07,0,6/8/1998,0,0,0,2,0,2,Gampha,Gampaha,Western,1,0,Ragama hospital,0,4,2,25000,2,0,1,1,0,4,1,1,2,2,2,0,1,1,1,1,1,1,Cyber Security,1,1,Network Administrator,Yes,Private University,galahitiyawa central college,gampha,Technology,2018,0.01,1,1,Yes,Yes,Yes,No,No,No,Yes,Yes,,Average,Average,Good,Good,Good,Good,Good,Good,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
124,12/22/2023 21:16,12/22/2023 21:24,0,9/1/1997,0,0,1,2,0,1,Kottawa,Colombo,Western,1,0,Jayawardhanapura,0,3,2,13000,4,0,0,1,1,4,4,1,2,2,4,0,1,1,0,1,1,1,IoT,1,1,Network Administrator,No,Not Yet decided.,2016,colombo,Technology,2016,0.541,1,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Good,Good,Good,Good,Good,Good,Good,Good,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
125,12/22/2023 21:13,12/22/2023 21:46,1,7/26/1999,0,0,1,1,0,1,Kahatagashdigiliya,Anuradhapura,North Central,1,0,Anuradhapura,0,3,0,100,2,0,0,0,0,4,1,1,3,2,1,3,1,1,3,1,1,1,Cyber Security,1,0,Software Engineer,Yes,Not Yet decided.,Kahatagasdigiliya centerl collage,Anuradhapura,Art,2018,,0,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Average,Average,Very Good,Very Good,Good,Very Good,Good,Good,Good,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
